Gene-Ontology-Terms	Gene Accession
protein maturation	b0902 // b2990 // b2729 // b2991 // b2728 // b2712 // b2992 // b3891 // b2730 // b1497 // b3800 // b1684 // b2528 // b0156 // b3414 // b4373 // b2726 // b2727 // b2717 // b4235 // b3244 // b2993 // b0975 // b3459 // b0027 // b2972 // b3335 // b3498 // b1766 // b2568 // b4160 // b0131 // b0828 // b0628 // b0630 // b4386 // b3871 // b2234 // b3363 // b2527 // b3609 // b3705 // b0438 // b1185 // b0998 // b1926 // b0920 // b0473 // b3347 // b2592 // b3401 // b0424 // b3349 // b3510 // b3168 // b4207 // b0525 // b0939 // b0531 // b2110 // b0944 // b3047 // b1591 // b3143 // b0717 // b2336 // b0140 // b0604 // b2893 // b0053 // b0161 // b0178 // b3509 // b1243 // b3544 // b0220 // b4376 // b0441 // b0098 // b0028 // b1743 // b2494 // b3706 // b4316 // b0492 // b0436 // b2069 // b2526 // b0650 // b1000 // b2614 // b0015 // b4142 // b4143 //  // b0014
carboxylic acid transport	b3454 // b0197 // b2578 // b2679 // b2344 // b2677 // b0112 // b0598 // b3603 // b4321 // b0576 // b2683 // b2678 // b0655 // b4077 // b3161 // b0887 // b3367 // b4311 // b3661 // b2368 // b2308 // b1533 // b2076 // b2682 // b0653 // b4363 // b1805 // b4123 // b2975 // b4141 //  // b1336 // b3110 // b4193 // b2923 // b2367 // b3370 // b3460 // b3909 // b2663 // b3020 // b0654 // b3458 // b4194 // b0810 // b2307 // b4208 // b4138 // b1907 // b4364 // b3827 // b0198 // b0353 // b3577 // b1920 // b4354 // b2310 // b3063 // b4356 // b4485 // b2309 // b1917 // b3824 // b3116 // b3528 // b3795 // b1798 // b4279 // b3513 // b3035 // b0813 // b3457 // b2796 // b0463 // b2740 // b4476 // b1473 // b2347 // b2156 // b0199 // b4337 // b2182 // b3227 // b4067 // b3455 // b2075 // b2670 // b0860 // b3456 // b1433 // b0401 // b3224 // b1729 // b3089 // b0864 // b2306 // b3240 // b1981 // b0904 // b0652 // b2074 // b2492 // b4195 // b4132 // b0621 // b0010 // b3653 // b4115 // b2470 // b0731 // b3514 // b1206 // b4296 // b2685 // b1918 // b3241 // b3691 // b3823 // b2365 // b4265 // b1015 // b2686 // b0462 // b3093 // b3415 // b3943 // b0874 // b0811 // b0886 // b0863 // b0862 // b3709 // b0692 // b0809 // b3258 // b0861 // b4111
D-glucose transmembrane transport	b2170 // b3659 // b3679 // b0070 // b1817 // b1101 //  // b1819 // b1818 // b3875 // b1621
rRNA catabolic process	b3643 // b4225 // b2782
mRNA catabolic process	b2696 // b3130 // b3164 // b4225 // b1286 // b2782 // b3996 // b1084 // b4539 // b4179 // b0225 // b1563 // b4532 // b2630 // b2830 // b4255 // b0143
tRNA decay	b1286 // b3056
glycolytic process	b4395 // b2779 // b0115 // b3612 // b2097 // b3236 // b2925 // b2388 // b2926 // b3919 // b1854 // b1676 // b4025 // b1779 // b1723 // b3916 // b0755
energy derivation by oxidation of organic compounds	b3365 //  // b3115 // b4399 // b0903 // b1241 // b2492 // b0904 // b0621 // b1380 // b3227 // b3945 // b3417 // b3428 // b3431 // b3416 // b3429 // b3432 // b3430 // b0720 // b0727 // b1612 // b0116 // b1225 // b4073 // b2277 // b0733 // b2210 // b4070 // b1227 // b1872 // b0894 // b0118 // b2976 // b4139 // b0896 // b2279 // b2284 // b0972 // b2243 // b0993 // b1465 // b0723 // b1468 // b3236 // b2276 // b3833 // b1276 // b2484 // b4123 // b0722 // b0724 // b2485 // b2483 // b1467 // b3892 // b1476 // b2720 // b4071 // b3426 // b1670 // b0431 // b0734 // b4079 // b1334 // b1873 // b1418 // b4515 // b0895 // b2721 // b2288 // b0728 // b4152 // b2724 // b4138 // b2719 // b0973 // b2482 // b4014 // b0771 // b4154 // b2486 // b2281 // b1587 // b2278 // b4072 // b4015 // b2619 // b1474 // b1590 // b0979 // b3518 // b0996 // b2241 // b2723 // b0320 // b2242 // b2203 // b0997 // b4153 // b2286 // b3551 // b0334 // b1974 // b1475 // b1588 // b2283 // b4380 // b4151 // b2133 // b3893 // b2282 // b0721 // b2996 // b2994 // b2997 // b2722 // b1057 // b1109 // b2280 // b0974 // b0432 // b2285 // b3956 // b0156 // b0994 // b2202 // b0978 // b0729 // b3894 // b1136 // b4016 // b3605 // b0726 // b0430 // b2206 // b4122 // b0429 // b0333 // b2487 // b1611 // b0518 // b1224 // b2488 // b2995 // b2287 // b1589
NADPH regeneration	b1602 // b1603 // b2464 // b4090 // b4301 // b4085 // b2914 // b2465 // b2935 // b0008 // b3386 // b0767 // b1852 // b2029
ketone body metabolic process	b1694 // b2224
electron transport chain	b1631 // b1378 // b1628 // b1632 // b1629 // b1136 // b1630 // b1627 // b2243 // b2286 // b2282 // b2287 // b2280 // b2281 // b2288 // b2284 // b2285 // b1057 // b1974 // b1418 // b1670 // b2133 //  // b0724 // b0721 // b0722 // b0723 // b4515 // b0978 // b0734 // b0733 // b0979 // b0430 // b0431 // b0429 // b1109 // b2279 // b0432 // b2278 // b2277 // b2283 // b2276 // b4153 // b4151 // b4152 // b4154 // b0895 // b2722 // b1474 // b3892 // b1475 // b2720 // b2723 // b2486 // b4079 // b3893 // b2483 // b2482 // b1476 // b1225 // b1224 // b2724 // b2995 // b2485 // b2719 // b2721 // b2484 // b0894 // b2487 // b3894 // b1227 // b1590 // b0896 // b1873 // b1872 // b0996 // b0997 // b3518 // b4070 // b0974 // b0973 // b0972 // b1465 // b1468 // b1467 // b4071 // b4072 // b4073 // b2525
pentose-phosphate shunt, non-oxidative branch	b4090 // b4301 // b4085 // b2914 // b2465 // b2935 // b0008 // b3386
